,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,weekdayOpen,weekdayClose,weekendOpen,weekendClose,type_Boulder,type_Toprope,type_AutoBelay,type_Lead,fac_CAFE,fac_BAR,fac_WarmUp,fac_GYM,fac_Traverse,fac_Circuit,fac_Moonboard,fac_KilterBoard,fac_Beastmaker,fac_woodyBoard,fac_symmetryBoard,fac_Splatter,superOffPeak,offPeakEntry,offPeakTiming,PeakEntry,Belay/Supervisor,Supervised Guest,punch-5,punch-10,punch-20,mem_1mthPass,mem_1mthRecur,mem_1mthOffPeak,mem_3mthPrepaid,mem_6mthPrepaid,mem_12mthPrepaid,mem_perk_FreeCoffeeBefore12,mem_perk_U18Mem,mem_perk_GuestPass,conc_OffPeakEntry,conc_PeakEntry,conc_Punch-5,conc_Punch-10,conc_Punch-20,conc_1mthPass,conc_1mthRecur,conc_3mthRecur,conc_6mthPrepaid,conc_12mthPrepaid,U3_DayEntry,U6_DayEntry,U10_DayEntry,U12_DayEntry,U14_DayEntry,U18_OffPeakEntry,U18_PeakEntry,U12_1mthPass,U18_1mthPass,U18_1mthRecur,U18_6mthPrepaid,U18_12mthPrepaid,U18_punch-5,U18_punch-10,BMC_OffPeak,BMC_PeakEntry,BlueLight_OffPeak,BlueLight_PeakEntry,O65_OffPeak,O65_PeakEntry,mem_family1A2C,mem_family2A4C,promo_StudentDays,Student_days,promo_Local,promo_gymOnly,newClimberReg,rental_shoe,rental_chalk,rental_harness,rental_belay
Arch Climbing Acton,10:00,22:00,9:00,21:00,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,Y,null,10.00,weekday entry before 3:30pm,13.50,null,null,null,100.00,null,null,75.00,null,200.00,375.00,700.00,Yes,Yes,1,9.00,11.00,null,90.00,null,null,65.00,175.00,325.00,600.00,null,null,null,5.50,null,null,7.00,25.00,35.00,null,null,null,null,70.00,null,null,9.00,11.00,null,5.00,null,null,5.00,"mon, fri",7.50,null,null,3.50,5.00,null,null
Arch Building One,6:30,22:30,9:00,21:00,Y,N,N,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,null,10.00,weekday entry before 3:30pm,13.50,null,null,null,100.00,null,null,75.00,null,200.00,375.00,700.00,Yes,Yes,1,9.00,11.00,null,90.00,null,null,65.00,175.00,325.00,600.00,null,null,null,5.50,null,null,7.00,25.00,35.00,null,null,null,null,70.00,null,null,9.00,11.00,null,5.00,null, NA,5.00,"mon, fri",7.50,null,null,3.50,5.00,null,null
Arch North,10:00,22:00,9:00,2100,Y,N,N,N,Y,N,Y,N,Y,N,N,N,N,N,N,N,null,10.00,weekday entry before 3:30pm,13.50,null,null,null,100.00,null,null,75.00,null,200.00,375.00,700.00,Yes,Yes,1,9.00,11.00,null,90.00,null,null,65.00,175.00,325.00,600.00,null,null,null,5.50,null,null,7.00,25.00,35.00,null,null,null,null,70.00,null,null,9.00,11.00,null,5.00,null,null,5.00,"mon, fri",7.50,null,null,3.50,5.00,null,null
Arch Surrey Quays,6:30,22:00,21:00,2100,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,Y,null,10.00,weekday entry before 3:30pm,13.50,null,null,null,100.00,null,null,75.00,null,200.00,375.00,700.00,Yes,Yes,1,9.00,11.00,null,90.00,null,null,65.00,175.00,325.00,600.00,null,null,null,5.50,null,null,7.00,25.00,35.00,null,null,null,null,70.00,null,null,9.00,11.00,null,5.00,null,null,5.00,"mon, fri",7.50,null,null,3.50,5.00,null,null
BlocFit,6:00,22:00,10:00,18:00,Y,N,N,N,Y,N,Y,Y,N,Y,N,N,N,Y,N,Y,null,null,null,11.00,null,null,null,95.00,null,49.00,43.00,null,null,null,520.00,No,No,No,null,9.00,null,80.00,null,44.00,38.00,null,null,null,null,null,null,null,null,null,9.00,null,null,null,null,null,null,80.00,null,null,null,null,null,5.00,null,null,null,null,null,20.00,null,4.00,null,null,null
"Castle, The",8:00,22:00,9:00,20:00,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,Y,N,Y,null,null,null,14.00,null,null,null,null,null,null,69.00,null,null,null,690.00,No,No,No,8.00,10.00,null,null,null,null,57.00,null,null,570.00,null,null,null,null,null,8.00,10.00,null,null,null,null,null,null,null,null,null,null,null,8.00,10.00,null,85.00,null,null,null,null,null,3.00,null,3.00,3.00
CityBouldering Aldgate,6:30,22:30,9:00,21:00,Y,N,N,N,Y,N,Y,Y,Y,N,N,Y,N,N,N,N,null,14.95,weekdays before 4pm after 9pm,11.95,null,null,null,134.50,null,null,85.00,null,225.00,427.00,810.00,No,No,2,9.95,12.95,null,116.50,null,null,72.50,187.50,356.00,675.00,null,null,null,null,null,9.95,12.95,null,72.50,null,null,null,null,116.50,null,null,null,null,9.95,12.95,null,null,7.50,tues,null,null,null,4.00,3.00,null,null
CityBouldering Westfield,7:30,22:30,9:00,21:00,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,N,null,14.95,weekdays before 4pm after 9pm,14.95,null,null,null,134.50,null,null,85.00,null,225.00,427.00,810.00,No,No,2,9.95,12.95,null,116.50,null,null,72.50,187.50,356.00,675.00,null,null,null,null,null,9.95,12.95,null,72.50,null,null,null,null,116.50,null,null,null,null,9.95,12.95,null,null,null,null,null,null,null,4.00,3.00,null,null
Climbing Hangar London,7:00,22:00,9:00,2000,Y,N,N,N,Y,N,Y,N,N,N,Y,N,N,N,N,N,null,null,null,15.00,null,null,null,null,null,null,52.99,null,null,null,null,No,No,Unlimited,null,12.50,null,null,null,null,42.99,null,null,null,null,12.50,12.50,12.50,12.50,null,12.50,null,42.99,null,null,null,null,null,null,null,null,null,null,12.50,null,null,null,null,null,null,null,Free,null,null,null
"Font Borough, The",6:30,10:30,10:00,18:00,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,N,Y,null,null,null,14.00,null,null,65.00,120.00,null,85.00,75.00,null,null,null,null,No,No,No,null,11.00,52.50,95.00,null,67.50,57.50,null,null,null,null,null,null,null,null,null,11.00,null,67.50,57.50,null,null,null,95.00,null,null,null,null,null,11.00,null,null,null,null,null,null,null,4.00,null,null,null
"Font Wandsworth, The",6:00,22:00,8:00,20:00,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,Y,N,N,null,null,null,14.00,null,null,65,120.00,null,85.00,75.00,null,null,null,null,No,No,No,null,11.00,52.50,95.00,null,67.50,57.50,null,null,null,null,null,null,null,null,null,11.00,null,67.50,57.50,null,null,null,95.00,null,null,null,null,null,11.00,null,null,null,null,null,null,null,4.00,null,null,null
Hang,10:00,22:00,10:00,18:00,Y,N,N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,null,null,null,12.50,null,null,null,105.00,null,60.00,55.00,null,null,null,600.00,No,No,No,null,10.00,null,85.00,null,50.00,45.00,null,null,460.00,null,null,null,null,8.00,null,10.00,null,50.00,45.00,null,null,null,85.00,null,null,null,null,null,10.00,null,null,null,null,null,null,null,3.00,3.00,null,null
LCC - Bethwall,6:00,23:00,7:00,21:00,Y,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,6.00,11.00,weekdays before 4pm,15.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.50,13.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.50,13.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.50,13.00,99.50,null,null,null,null,null,2.00,3.80,2.00,null,null
LCC - CanaryWall,6:00,23:00,9:00,21:00,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,N,Y,Y,6.00,11.00,weekdays before 4pm,15.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.50,13.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.50,13.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.50,13.00,null,null,null,null,null,null,null,3.80,2.00,null,null
LCC - Croywall,6:00,22:00,9:00,21:00,Y,N,N,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,Y,6.00,10.00,weekdays before 4pm,14.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.00,12.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.00,12.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.00,12.00,null,null,null,null,null,null,null,3.80,2.00,null,null
LCC - EustonWall,6:00,23:00,9:00,21:00,Y,N,N,N,Y,N,Y,Y,N,N,N,Y,N,Y,N,N,6.00,11.00,weekdays before 4pm,15.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.50,13.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.50,13.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.50,13.00,null,null,null,null,null,null,null,3.80,2.00,null,null
LCC - HarroWall,6:00,23:00,8:00,22:00,Y,N,N,N,Y,N,Y,Y,Y,Y,Y,N,N,Y,N,Y,6.00,11.00,weekdays before 4pm,15.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.50,13.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.50,13.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.50,13.00,null,null,null,null,null,null,null,3.80,2.00,null,null
LCC - RavensWall,6:00,22:30,9:00,21:00,Y,N,N,N,Y,N,Y,Y,N,Y,Y,N,N,Y,N,N,6.00,11.00,weekdays before 4pm,15.00,null,null,67.00,127.00,240.00,85.00,75.00,null,null,418.00,790.00,Yes,No,2,9.50,13.00,null,110.00,null,75.00,65.00,null,363.00,685.00,2.50,null,8.50,null,null,9.50,13.00,null,75.00,65.00,null,null,null,110.00,null,null,null,null,9.50,13.00,null,null,null,null,null,null,null,3.80,2.00,null,null
